Nom,postal,INS
Folx-les-Caves,1350,25029
FONTAINE-L'ÉVÊQUE,6140,52022
Fontaine-Valmont,6567,56025
Fontenelle,5650,93023
Fontenoille,6820,85012
Fontenoy,7643,57029
Fooz,4340,62039
Forchies-la-Marche,6141,52023
FOREST,1190,21007
Forest (Hainaut),7910,51020
Forêt (Liège),4870,62040
Forge-Philippe,6596,56026
Forges,6464,56027
Forrières,6953,83015
Forville,5380,92047
Fosse (Liège),4980,63026
Fosse (Namur),5070,92048
FOSSES-LA-VILLE,5070,92048
Fouleng,7830,51021
Fourbechies,6440,56028
Fraipont,4870,62041
Fraire,5650,93024
Fraiture,4557,61023
FRAMERIES,7080,53028
Framont,6853,84020
Franchimont,5600,93025
Francorchamps,4970,63027
Franc-Waret,5380,92049
Franière,5150,92050
Frasnes,5660,93026
FRASNES-LEZ-ANVAING,7910,51065
Frasnes-lez-Buissenal,7911,51022
Frasnes-lez-Gosselies,6210,52024
Freloux,4347,64027
Freux,6800,84021
FROIDCHAPELLE,6440,56029
Froid-Chapelle,6440,56029
Froidfontaine,5576,91051
Froidmont,7504,57030
Fronville,6990,91052
Froyennes,7503,57031
Fumal,4260,64028
Furfooz,5500,91053
Furnaux,5641,92051
Gaasbeek,1750,23022
Gages,7943,51023
Gallaix,7906,57032
GALMAARDEN,1570,23023
GANSHOREN,1083,21008
Gaurain-Ramecroix,7530,57033
GAVERE,9890,44020
GEDINNE,5575,91054
GEEL,2440,13008
GEER,4250,64029
Geest-Gérompont-Petit-Rosière,1367,25030
GEETBETS,3450,24028
Gelbressée,5024,92052
Gelinden,3800,71015
Gellik,3620,73014
Gelmen,3800,71068
Gelrode,3200,24029
Geluveld,8980,33008
Geluwe,8940,33009
Gembes,6929,84022
Gembloux,5030,92053
GEMBLOUX ,5030,92142
Gembloux-sur-Orneau,5030,92139
Gemmenich,4851,63028
GENAPPE,1470,25031
GENK,3600,71016
Genly,7040,53029
Genoelselderen,3770,73015
GENT,9000,44021
Gentbrugge,9050,44022
Gentinnes,1450,25032
Genval,1332,25033
GERAARDSBERGEN,9500,41018
Gerdingen,3960,72009
Gerin,5524,91055
Gérompont,1367,25116
Gérouville,6769,85013
GERPINNES,6280,52025
Gestel,2590,12010
GESVES,5340,92054
Ghislenghien,7822,51024
Ghlin,7011,53030
Ghoy,7863,55012
Gibecq,7823,51025
Gierle,2275,13009
Gijverinkhove,8691,38010
Gijzegem,9308,41019
Gijzelbrechtegem,8570,34011
Gijzenzele,9860,44023
Gilly,6060,52026
Gimnée,5680,93027
GINGELOM,3890,71017
GISTEL,8470,35005
Gits,8830,36005
Givry,7041,53031
Glabais,1473,25034
GLABBEEK,3380,24137
Glabbeek-Zuurbemde,3380,24030
Glain,4000,62042
Gleixhe,4400,62043
Glimes,1315,25035
Glons,4690,62044
Gochenée,5680,93028
Godarville,7160,52027
Godinne,5530,91056
Godveerdegem,9620,41020
Goé,4834,63029
Goeferdinge,9500,41021
Goegnies-Chaussée,7040,53032
Goesnes,5353,92055
Goetsenhoven,3300,24031
Gomzé-Andoumont,4140,62045
Gondregnies,7830,51026
Gonrieux,5660,93029
GOOIK,1755,23024
Gorsem,3803,71018
Gors-Opleeuw,3840,73016
Gosselies,6041,52028
Gotem,3840,73017
Gottem,9800,44025
Gottignies,7070,55013
Gougnies,6280,52029
Gourdinne,5651,93030
GOUVY,6670,82037
