,,,,,,,,,
nummer_instelling,naam instelling,adres,fusiegemeente,postnummer,Gewoon kleuteronderwijs,Gewoon lager onderwijs,Buitengewoon kleuteronderwijs,Buitengewoon lager onderwijs,Totaal
2791,GO! basisschool Gentbrugge,Hazenakker 1    ,Gent,9050,177,214,,,391
2808,GO! basisschool Merelbeke,Gaversesteenweg 195  ,Merelbeke,9820,155,232,,,387
2824,GO! basisschool De Leefschool Oosterzele,Groenweg 4    ,Oosterzele,9860,63,127,,,190
2841,GO! basisschool De Zonnebloem Kalken,Nerenweg 7    ,Laarne,9270,80,64,,,144
2857,GO! basisschool Ten Berge Berlare,Galgenbergstraat 39   ,Berlare,9290,108,190,,,298
2865,GO! basisschool De Nieuwe Arend Aalst,Binnenstraat 308  ,Aalst,9300,68,125,,,193
2873,GO! basisschool Atheneum Aalst,Graanmarkt 14   ,Aalst,9300,108,205,,,313
2881,GO! basisschool Park Aalst,Eikstraat 8    ,Aalst,9300,139,189,,,328
2907,GO! basisschool De Kleine Prins Lede,Meirveld 13   ,Lede,9340,130,151,,,281
2923,GO! basisschool Atheneum Dendermonde,Zuidlaan 3    ,Dendermonde,9200,144,244,,,388
